aluguel,zona,area,quarto
1100.0,sul,64,3.0
1300.0,sul,35,1.0
3500.0,sul,100,3.0
1700.0,sul,75,2.0
3270.0,sul,100,3.0
3100.0,sul,70,2.0
5000.0,sul,120,3.0
1150.0,sul,40,1.0
2000.0,sul,72,3.0
8300.0,sul,246,4.0
1500.0,sul,58,2.0
1590.0,sul,59,2.0
1600.0,sul,80,2.0
1800.0,sul,80,2.0
25000.0,sul,406,3.0
2300.0,sul,40,1.0
1100.0,sul,61,2.0
2500.0,sul,63,2.0
2700.0,sul,60,2.0
4000.0,sul,190,3.0
21000.0,sul,265,3.0
3300.0,sul,84,2.0
1100.0,sul,54,2.0
2300.0,sul,64,3.0
1000.0,sul,50,2.0
4950.0,sul,38,1.0
4950.0,sul,38,1.0
4950.0,sul,38,1.0
4950.0,sul,38,1.0
1300.0,sul,132,1.0
2300.0,sul,65,2.0
2000.0,sul,40,1.0
1000.0,sul,72,2.0
14000.0,sul,215,4.0
7000.0,sul,400,
1200.0,sul,36,1.0
3100.0,sul,100,2.0
1750.0,sul,40,1.0
1850.0,sul,93,2.0
4500.0,sul,55,2.0
750.0,sul,35,1.0
2600.0,sul,104,3.0
1200.0,sul,48,2.0
6800.0,sul,186,3.0
1500.0,sul,29,1.0
1800.0,sul,77,3.0
1600.0,sul,65,2.0
2300.0,sul,87,2.0
1200.0,sul,45,2.0
9800.0,sul,213,3.0
2200.0,sul,45,1.0
5950.0,sul,110,3.0
1800.0,sul,41,1.0
2300.0,sul,42,1.0
1250.0,sul,50,1.0
4200.0,sul,88,2.0
1600.0,sul,60,2.0
2300.0,sul,70,1.0
2300.0,sul,42,1.0
1500.0,sul,50,1.0
700.0,sul,38,2.0
1500.0,sul,45,1.0
1000.0,sul,34,1.0
5000.0,sul,90,3.0
1900.0,sul,74,3.0
3500.0,sul,85,3.0
3000.0,sul,38,1.0
1700.0,sul,60,2.0
1300.0,sul,69,2.0
22000.0,sul,226,4.0
1200.0,sul,49,2.0
1800.0,sul,70,2.0
5000.0,sul,111,3.0
4950.0,sul,144,2.0
16500.0,sul,166,3.0
2300.0,sul,87,2.0
9000.0,sul,125,3.0
2000.0,sul,72,3.0
1700.0,sul,103,2.0
1000.0,sul,32,1.0
2600.0,sul,95,3.0
3200.0,sul,27,1.0
3600.0,sul,120,3.0
2800.0,sul,65,2.0
2500.0,sul,60,2.0
1900.0,sul,83,2.0
3600.0,sul,90,3.0
15000.0,sul,262,4.0
1300.0,sul,50,2.0
1400.0,sul,38,1.0
1750.0,sul,65,2.0
1850.0,sul,79,2.0
700.0,sul,32,1.0
1990.0,sul,82,2.0
2550.0,sul,45,1.0
2650.0,sul,70,1.0
8523.0,sul,57,1.0
3300.0,sul,45,1.0
4000.0,sul,102,2.0
1450.0,sul,33,1.0
3500.0,sul,63,2.0
4300.0,sul,157,3.0
5500.0,sul,67,2.0
3500.0,sul,45,1.0
13799.0,sul,105,2.0
10000.0,sul,221,3.0
2990.0,sul,49,1.0
7000.0,sul,104,3.0
3650.0,sul,94,3.0
2685.0,sul,75,2.0
2685.0,sul,75,2.0
18000.0,sul,234,3.0
5000.0,sul,210,3.0
4000.0,sul,96,3.0
3400.0,sul,94,2.0
4300.0,sul,157,3.0
3500.0,sul,63,2.0
4900.0,sul,35,1.0
2900.0,sul,60,2.0
4500.0,sul,104,3.0
1900.0,sul,69,2.0
8200.0,sul,99,1.0
2590.0,sul,41,1.0
3000.0,sul,51,1.0
2500.0,sul,41,2.0
10000.0,sul,255,4.0
3000.0,sul,65,3.0
4300.0,sul,157,3.0
5000.0,sul,170,3.0
2600.0,sul,41,1.0
2500.0,sul,503,3.0
4300.0,sul,157,3.0
5000.0,sul,124,3.0
2588.0,sul,36,1.0
8500.0,sul,57,1.0
3800.0,sul,41,1.0
5200.0,sul,70,2.0
2000.0,sul,35,1.0
2500.0,sul,45,1.0
1500.0,sul,48,1.0
1600.0,sul,50,1.0
3000.0,sul,51,2.0
5800.0,sul,110,3.0
7000.0,sul,110,3.0
3500.0,sul,92,3.0
7700.0,sul,"1,604",604.0
4256.0,sul,40,1.0
5095.0,sul,50,1.0
6100.0,sul,62,1.0
1700.0,sul,90,2.0
2550.0,sul,65,2.0
5000.0,sul,210,3.0
2500.0,sul,119,3.0
8000.0,sul,288,2.0
7000.0,sul,140,3.0
2900.0,sul,75,3.0
12000.0,sul,360,4.0
8000.0,sul,283,4.0
16000.0,sul,337,3.0
13000.0,sul,370,4.0
11600.0,sul,180,2.0
25000.0,sul,226,4.0
4400.0,sul,138,3.0
8500.0,sul,210,4.0
2800.0,sul,91,3.0
2000.0,sul,42,1.0
1800.0,sul,50,1.0
2300.0,sul,45,1.0
3500.0,sul,102,2.0
1650.0,sul,73,3.0
3200.0,sul,60,2.0
3300.0,sul,72,2.0
10500.0,sul,350,3.0
2500.0,sul,128,3.0
2700.0,sul,92,3.0
1880.0,sul,64,3.0
9000.0,sul,167,4.0
1600.0,sul,58,2.0
6500.0,sul,135,2.0
1700.0,sul,41,2.0
3600.0,sul,110,3.0
2200.0,sul,73,2.0
8000.0,sul,222,4.0
1700.0,sul,75,2.0
10000.0,sul,165,4.0
7000.0,sul,145,4.0
1900.0,sul,55,2.0
12000.0,sul,296,4.0
20000.0,sul,370,4.0
12000.0,sul,47,1.0
6000.0,sul,265,4.0
3700.0,sul,70,2.0
15000.0,sul,360,4.0
13500.0,sul,220,5.0
16000.0,sul,329,4.0
10000.0,sul,337,3.0
5000.0,sul,205,3.0
20000.0,sul,337,4.0
14300.0,sul,103,1.0
12334.0,sul,337,3.0
8500.0,sul,311,4.0
8500.0,sul,280,4.0
29000.0,sul,600,4.0
28000.0,sul,287,4.0
10500.0,sul,332,5.0
12000.0,sul,296,4.0
13000.0,sul,329,4.0
30000.0,sul,609,4.0
8700.0,sul,78,2.0
5000.0,sul,210,3.0
6000.0,sul,88,2.0
8750.0,sul,460,5.0
20000.0,sul,290,3.0
17000.0,sul,187,3.0
