aluguel,area_quarto,zona
1.100,64 m² construídos3 quartos,sul
1.300,35 m² construídos1 quarto,sul
3.500,100 m² construídos3 quartos,sul
1.700,75 m² construídos2 quartos,sul
3.270,100 m² construídos3 quartos,sul
3.100,70 m² construídos2 quartos,sul
5.000,120 m² construídos3 quartos,sul
1.150,40 m² construídos1 quarto,sul
2.000,72 m² construídos3 quartos,sul
8.300,246 m² construídos4 quartos,sul
1.500,58 m² construídos2 quartos,sul
1.590,59 m² construídos2 quartos,sul
1.600,80 m² construídos2 quartos,sul
1.800,80 m² construídos2 quartos,sul
25.000,406 m² construídos3 quartos,sul
2.300,40 m² construídos1 quarto,sul
1.100,61 m² construídos2 quartos,sul
2.500,63 m² construídos2 quartos,sul
2.700,60 m² construídos2 quartos,sul
4.000,190 m² construídos3 quartos,sul
21.000,265 m² construídos3 quartos,sul
3.300,84 m² construídos2 quartos,sul
1.100,54 m² construídos2 quartos,sul
2.300,64 m² construídos3 quartos,sul
1.000,50 m² construídos2 quartos,sul
4.950,38 m² construídos1 quarto,sul
4.950,38 m² construídos1 quarto,sul
4.950,38 m² construídos1 quarto,sul
4.950,38 m² construídos1 quarto,sul
1.300,132 m² construídos1 quarto,sul
2.300,65 m² construídos2 quartos,sul
2.000,40 m² construídos1 quarto,sul
1.000,72 m² construídos2 quartos,sul
14.000,215 m² construídos4 quartos,sul
7.000,400 m² totais,sul
1.200,36 m² construídos1 quarto,sul
3.100,100 m² construídos2 quartos,sul
1.750,40 m² construídos1 quarto,sul
1.850,93 m² construídos2 quartos,sul
4.500,55 m² construídos2 quartos,sul
750,35 m² construídos1 quarto,sul
2.600,104 m² construídos3 quartos,sul
1.200,48 m² construídos2 quartos,sul
6.800,186 m² construídos3 quartos,sul
1.500,29 m² construídos1 quarto,sul
1.800,77 m² construídos3 quartos,sul
1.600,65 m² construídos2 quartos,sul
2.300,87 m² construídos2 quartos,sul
1.200,45 m² construídos2 quartos,sul
9.800,213 m² construídos3 quartos,sul
2.200,45 m² construídos1 quarto,sul
5.950,110 m² construídos3 quartos,sul
1.800,41 m² construídos1 quarto,sul
2.300,42 m² construídos1 quarto,sul
1.250,50 m² construídos1 quarto,sul
4.200,88 m² construídos2 quartos,sul
1.600,60 m² construídos2 quartos,sul
2.300,70 m² construídos1 quarto,sul
2.300,42 m² construídos1 quarto,sul
1.500,50 m² construídos1 quarto,sul
700,38 m² construídos2 quartos,sul
1.500,45 m² construídos1 quarto,sul
1.000,34 m² construídos1 quarto,sul
5.000,90 m² construídos3 quartos,sul
1.900,74 m² construídos3 quartos,sul
3.500,85 m² construídos3 quartos,sul
3.000,38 m² construídos1 quarto,sul
1.700,60 m² construídos2 quartos,sul
1.300,69 m² construídos2 quartos,sul
22.000,226 m² construídos4 quartos,sul
1.200,49 m² construídos2 quartos,sul
